frame,t_capture_ms,t_hsv_ms,t_search_ms,t_map_ms,fps,tier_wrist,tier_thumb,tier_index,n_markers
367,0.9232,1.0165,4.2664,0.0506,161.28,1,1,0,2
368,0.6014,1.1088,3.2824,0.0474,164.11,1,1,2,3
369,0.6439,1.0215,3.234,0.0395,166.92,1,1,1,3
370,0.5436,0.988,3.0558,0.0414,170.9,1,1,1,3
371,0.5967,1.0119,3.0415,0.0397,174.2,1,1,1,3
372,0.5357,1.0154,3.0874,0.0394,177.23,1,1,1,3
373,0.5859,0.9955,3.0866,0.0402,179.84,1,1,1,3
374,0.5379,0.9532,3.3102,0.0798,181.42,1,1,1,3
375,0.7761,1.2357,6.0563,0.0343,175.23,1,1,1,3
376,0.5031,1.138,6.321,0.0439,169.89,1,1,0,2
377,0.5416,1.1726,5.0895,0.076,166.88,1,1,0,2
378,0.6088,0.9747,5.2158,0.0788,164.09,1,1,0,2
379,0.9125,1.128,4.5348,0.0981,162.07,1,1,0,2
380,0.6129,0.9707,4.7498,0.1318,160.54,1,1,0,2
381,0.9767,1.2527,4.974,0.0463,157.53,1,1,0,2
382,0.7215,1.0416,3.6952,0.0464,159.27,1,1,0,2
383,0.603,0.9741,3.8047,0.0471,161.09,1,1,0,2
384,0.5972,1.0569,3.6969,0.0401,160.66,1,1,0,2
385,0.59,0.9561,3.4558,0.0421,163.71,1,1,0,2
386,0.708,1.0409,3.5026,0.0397,165.57,1,1,0,2
387,0.5509,1.0438,3.5575,0.0423,167.52,1,1,0,2
388,0.5893,0.9783,3.5233,0.0394,169.56,1,1,0,2
389,0.5644,0.9548,3.5518,0.0413,171.42,1,1,0,2
390,0.6072,1.0404,3.6927,0.0414,172.2,1,1,0,2
391,0.5843,0.9535,3.6291,0.0414,173.49,1,1,0,2
392,0.5328,0.9558,3.7133,0.0514,174.48,1,1,0,2
393,0.6892,0.9839,4.9288,0.0478,171.59,1,1,0,2
394,0.626,1.0604,6.2076,0.0878,166.49,1,1,0,2
395,0.6953,1.2644,4.0672,0.0596,165.38,1,1,2,3
396,0.5495,1.1124,3.9126,0.0409,165.88,1,1,1,3
397,0.665,1.2069,4.3466,0.0555,164.62,1,1,1,3
398,0.6649,1.0134,4.1901,0.0386,164.4,1,1,1,3
399,0.6731,1.0236,3.9758,0.0532,162.92,1,1,1,3
400,1.3064,1.3751,3.805,0.0417,161.33,1,1,1,3
401,0.7974,0.9995,3.1228,0.0434,164.5,1,1,1,3
402,0.6155,0.9925,3.233,0.0455,167.57,1,1,1,3
403,0.7022,0.9858,3.3994,0.1337,168.62,1,1,1,3
404,0.6681,1.081,3.219,0.0485,170.35,1,1,1,3
405,0.7811,1.0419,5.2823,0.0522,166.71,1,1,0,2
406,0.7764,1.0191,3.1821,0.045,169.09,1,1,2,3
407,1.3018,1.1951,3.2914,0.0448,168.57,1,1,1,3
